"","","Player Details","","","","","Projection"
"#","NAME","POS","POS","SEASON","WEEK","OPP","FPTS"
"1","Josh Allen","QB","BUF","2026","2","DET","25.5"
"2","Jahmyr Gibbs","RB","DET","2026","2","BUF","23.8"
"3","Bijan Robinson","RB","ATL","2026","2","CAR","22.9"
"4","Christian McCaffrey","RB","SF","2026","2","MIA","20.9"
"5","Puka Nacua","WR","LA","2026","2","NYG","20.9"
"6","Brock Purdy","QB","SF","2026","2","MIA","20.8"
"7","Lamar Jackson","QB","BLT","2026","2","NO","20.2"
"8","Dak Prescott","QB","DAL","2026","2","WAS","20.1"
"9","Jalen Hurts","QB","PHI","2026","2","TEN","19.8"
"10","Patrick Mahomes","QB","KC","2026","2","IND","19.7"
"11","Amon-Ra St. Brown","WR","DET","2026","2","BUF","19.5"
"12","Jayden Daniels","QB","WAS","2026","2","DAL","19.4"
"13","Caleb Williams","QB","CHI","2026","2","MIN","19.2"
"14","Derrick Henry","RB","BLT","2026","2","NO","19.1"
"15","Jonathan Taylor","RB","IND","2026","2","KC","18.9"
"16","Jaxson Dart","QB","NYG","2026","2","LA","18.9"
"17","Bo Nix","QB","DEN","2026","2","JAX","18.8"
"18","Kenneth Walker III","RB","KC","2026","2","IND","18.7"
"19","Drake Maye","QB","NE","2026","2","PIT","18.5"
"20","Jordan Love","QB","GB","2026","2","NYJ","18.4"
"21","Justin Herbert","QB","LAC","2026","2","LV","18.3"
"22","James Cook","RB","BUF","2026","2","DET","18.3"
"23","Matthew Stafford","QB","LA","2026","2","NYG","18.1"
"24","Jared Goff","QB","DET","2026","2","BUF","18.0"
"25","Javonte Williams","RB","DAL","2026","2","WAS","18.0"
"26","Ja'Marr Chase","WR","CIN","2026","2","HST","17.9"
"27","Justin Jefferson","WR","MIN","2026","2","CHI","17.8"
"28","Joe Burrow","QB","CIN","2026","2","HST","17.7"
"29","Baker Mayfield","QB","TB","2026","2","CLV","17.6"
"30","Trevor Lawrence","QB","JAX","2026","2","DEN","17.6"
"31","CeeDee Lamb","WR","DAL","2026","2","WAS","17.5"
"32","Ashton Jeanty","RB","LV","2026","2","LAC","17.3"
"33","Tyler Shough","QB","NO","2026","2","BLT","17.0"
"34","Jaxon Smith-Njigba","WR","SEA","2026","2","ARZ","16.9"
"35","C.J. Stroud","QB","HST","2026","2","CIN","16.9"
"36","De'Von Achane","RB","MIA","2026","2","SF","16.8"
"37","Bryce Young","QB","CAR","2026","2","ATL","16.6"
"38","Saquon Barkley","RB","PHI","2026","2","TEN","16.3"
"39","Malik Willis","QB","MIA","2026","2","SF","16.3"
"40","Bucky Irving","RB","TB","2026","2","CLV","15.9"
"41","Carson Wentz","QB","MIN","2026","2","CHI","15.8"
"42","Trey McBride","TE","ARZ","2026","2","SEA","15.7"
"43","David Montgomery","RB","HST","2026","2","CIN","15.7"
"44","Chase Brown","RB","CIN","2026","2","HST","15.5"
"45","Breece Hall","RB","NYJ","2026","2","GB","15.4"
"46","Jacoby Brissett","QB","ARZ","2026","2","SEA","15.2"
"47","Rhamondre Stevenson","RB","NE","2026","2","PIT","15.1"
"48","Omarion Hampton","RB","LAC","2026","2","LV","14.9"
"49","George Pickens","WR","DAL","2026","2","WAS","14.9"
"50","Daniel Jones","QB","IND","2026","2","KC","14.9"
"51","Aaron Jones","RB","MIN","2026","2","CHI","14.8"
"52","Chris Olave","WR","NO","2026","2","BLT","14.8"
"53","Kyren Williams","RB","LA","2026","2","NYG","14.7"
"54","Drew Lock","QB","SEA","2026","2","ARZ","14.5"
"55","DeVonta Smith","WR","PHI","2026","2","TEN","14.5"
"56","Malik Nabers","WR","NYG","2026","2","LA","14.3"
"57","D'Andre Swift","RB","CHI","2026","2","MIN","14.2"
"58","DK Metcalf","WR","PIT","2026","2","NE","14.1"
"59","Geno Smith","QB","NYJ","2026","2","GB","14.1"
"60","Chuba Hubbard","RB","CAR","2026","2","ATL","14.0"
"61","Deshaun Watson","QB","CLV","2026","2","TB","13.9"
"62","Garrett Wilson","WR","NYJ","2026","2","GB","13.9"
"63","Rashee Rice","WR","KC","2026","2","IND","13.9"
"64","Jaylen Waddle","WR","DEN","2026","2","JAX","13.9"
"65","Christian Watson","WR","GB","2026","2","NYJ","13.9"
"66","DJ Moore","WR","BUF","2026","2","DET","13.8"
"67","Davante Adams","WR","LA","2026","2","NYG","13.6"
"68","Aaron Rodgers","QB","PIT","2026","2","NE","13.6"
"69","Mike Evans","WR","SF","2026","2","MIA","13.6"
"70","Tetairoa McMillan","WR","CAR","2026","2","ATL","13.3"
"71","Kirk Cousins","QB","LV","2026","2","LAC","13.1"
"72","Parker Washington","WR","JAX","2026","2","DEN","13.1"
"73","Cam Skattebo","RB","NYG","2026","2","LA","13.1"
"74","Terry McLaurin","WR","WAS","2026","2","DAL","12.9"
"75","Jadarian Price","RB","SEA","2026","2","ARZ","12.9"
"76","Jameson Williams","WR","DET","2026","2","BUF","12.8"
"77","Quentin Johnston","WR","LAC","2026","2","LV","12.7"
"78","Drake London","WR","ATL","2026","2","CAR","12.7"
"79","Mark Andrews","TE","BLT","2026","2","NO","12.7"
"80","Emeka Egbuka","WR","TB","2026","2","CLV","12.6"
"81","Tee Higgins","WR","CIN","2026","2","HST","12.5"
"82","Sam LaPorta","TE","DET","2026","2","BUF","12.4"
"83","Cam Ward","QB","TEN","2026","2","PHI","12.3"
"84","MarShawn Lloyd","RB","GB","2026","2","NYJ","12.3"
"85","Colston Loveland","TE","CHI","2026","2","MIN","12.1"
"86","Jalen Coker","WR","CAR","2026","2","ATL","12.0"
"87","Dallas Goedert","TE","PHI","2026","2","TEN","12.0"
"88","Dalton Kincaid","TE","BUF","2026","2","DET","11.9"
"89","Quinshon Judkins","RB","CLV","2026","2","TB","11.9"
"90","Cooper Rush","QB","ATL","2026","2","CAR","11.8"
"91","Luther Burden III","WR","CHI","2026","2","MIN","11.8"
"92","Jaylen Warren","RB","PIT","2026","2","NE","11.6"
"93","Travis Kelce","TE","KC","2026","2","IND","11.4"
"94","Xavier Worthy","WR","KC","2026","2","IND","11.2"
"95","Michael Mayer","TE","LV","2026","2","LAC","11.2"
"96","Jeremiyah Love","RB","ARZ","2026","2","SEA","11.1"
"97","Romeo Doubs","WR","NE","2026","2","PIT","11.1"
"98","Stefon Diggs","WR","WAS","2026","2","DAL","11.0"
"99","Rico Dowdle","RB","PIT","2026","2","NE","10.9"
"100","Jakobi Meyers","WR","JAX","2026","2","DEN","10.9"
"101","Tyler Warren","TE","IND","2026","2","KC","10.9"
"102","Dalton Schultz","TE","HST","2026","2","CIN","10.9"
"103","Courtland Sutton","WR","DEN","2026","2","JAX","10.8"
"104","Tucker Kraft","TE","GB","2026","2","NYJ","10.7"
"105","Jordan Addison","WR","MIN","2026","2","CHI","10.7"
"106","RJ Harvey","RB","DEN","2026","2","JAX","10.6"
"107","Bhayshul Tuten","RB","JAX","2026","2","DEN","10.6"
